id,Метка времени,id абонента,"Тип услуги (звонок, смс, трафик)",Объем затраченных единиц
43,2022-03-02 18:00:00,406,смс,1
44,2022-03-02 19:00:00,296,звонок,44
45,2022-03-02 20:00:00,402,смс,2
46,2022-03-02 21:00:00,310,звонок,21
47,2022-03-02 22:00:00,213,трафик,460
48,2022-03-02 23:00:00,405,звонок,23
49,2022-03-03 00:00:00,379,трафик,221
50,2022-03-03 01:00:00,181,смс,2
51,2022-03-03 02:00:00,112,трафик,201
52,2022-03-03 03:00:00,200,звонок,26
53,2022-03-03 04:00:00,159,трафик,464
54,2022-03-03 05:00:00,186,звонок,16
55,2022-03-03 06:00:00,473,трафик,185
56,2022-03-03 07:00:00,382,звонок,45
57,2022-03-03 08:00:00,23,смс,2
58,2022-03-03 09:00:00,165,трафик,309
59,2022-03-03 10:00:00,33,трафик,468
60,2022-03-03 11:00:00,341,трафик,407
61,2022-03-03 12:00:00,255,трафик,198
62,2022-03-03 13:00:00,71,смс,2
63,2022-03-03 14:00:00,245,смс,1
64,2022-03-03 15:00:00,49,смс,1
65,2022-03-03 16:00:00,365,смс,1
66,2022-03-03 17:00:00,398,смс,2
67,2022-03-03 18:00:00,144,звонок,34
68,2022-03-03 19:00:00,239,звонок,20
69,2022-03-03 20:00:00,380,звонок,21
70,2022-03-03 21:00:00,395,смс,2
71,2022-03-03 22:00:00,363,смс,1
72,2022-03-03 23:00:00,212,звонок,12
73,2022-03-04 00:00:00,12,звонок,5
74,2022-03-04 01:00:00,175,трафик,99
75,2022-03-04 02:00:00,251,смс,2
76,2022-03-04 03:00:00,387,трафик,194
77,2022-03-04 04:00:00,371,смс,1
78,2022-03-04 05:00:00,252,звонок,32
79,2022-03-04 06:00:00,468,трафик,258
80,2022-03-04 07:00:00,137,трафик,267
81,2022-03-04 08:00:00,461,смс,1
82,2022-03-04 09:00:00,323,трафик,308
83,2022-03-04 10:00:00,71,смс,2
84,2022-03-04 11:00:00,272,звонок,14
85,2022-03-04 12:00:00,111,трафик,196
86,2022-03-04 13:00:00,268,звонок,36
87,2022-03-04 14:00:00,197,звонок,47
88,2022-03-04 15:00:00,10,звонок,19
89,2022-03-04 16:00:00,356,смс,1
90,2022-03-04 17:00:00,262,смс,2
91,2022-03-04 18:00:00,396,звонок,9
92,2022-03-04 19:00:00,366,звонок,44
93,2022-03-04 20:00:00,295,звонок,36
94,2022-03-04 21:00:00,136,смс,2
95,2022-03-04 22:00:00,433,трафик,163
96,2022-03-04 23:00:00,34,звонок,4
97,2022-03-05 00:00:00,356,смс,1
98,2022-03-05 01:00:00,246,смс,1
99,2022-03-05 02:00:00,36,смс,2
100,2022-03-05 03:00:00,260,трафик,127
101,2022-03-05 04:00:00,308,смс,1
102,2022-03-05 05:00:00,79,смс,1
103,2022-03-05 06:00:00,356,звонок,17
104,2022-03-05 07:00:00,341,смс,2
105,2022-03-05 08:00:00,42,смс,1
106,2022-03-05 09:00:00,45,трафик,286
107,2022-03-05 10:00:00,23,смс,1
108,2022-03-05 11:00:00,414,звонок,7
109,2022-03-05 12:00:00,290,звонок,28
110,2022-03-05 13:00:00,244,трафик,495
111,2022-03-05 14:00:00,498,звонок,42
112,2022-03-05 15:00:00,63,смс,1
113,2022-03-05 16:00:00,374,звонок,22
114,2022-03-05 17:00:00,404,звонок,48
115,2022-03-05 18:00:00,280,смс,2
116,2022-03-05 19:00:00,219,трафик,137
117,2022-03-05 20:00:00,78,трафик,275
118,2022-03-05 21:00:00,364,звонок,4
119,2022-03-05 22:00:00,321,звонок,19
120,2022-03-05 23:00:00,90,трафик,285
121,2022-03-06 00:00:00,108,смс,1
122,2022-03-06 01:00:00,184,трафик,334
123,2022-03-06 02:00:00,193,трафик,383
124,2022-03-06 03:00:00,143,смс,1
125,2022-03-06 04:00:00,417,смс,2
126,2022-03-06 05:00:00,304,звонок,33
127,2022-03-06 06:00:00,16,звонок,42
128,2022-03-06 07:00:00,149,трафик,203
129,2022-03-06 08:00:00,433,звонок,37
130,2022-03-06 09:00:00,95,смс,1
131,2022-03-06 10:00:00,45,смс,1
132,2022-03-06 11:00:00,226,смс,2
133,2022-03-06 12:00:00,53,трафик,371
134,2022-03-06 13:00:00,245,смс,1
135,2022-03-06 14:00:00,281,звонок,25
136,2022-03-06 15:00:00,82,трафик,193
137,2022-03-06 16:00:00,227,звонок,42
138,2022-03-06 17:00:00,162,трафик,277
139,2022-03-06 18:00:00,136,трафик,269
140,2022-03-06 19:00:00,193,трафик,339
141,2022-03-06 20:00:00,173,звонок,43
142,2022-03-06 21:00:00,389,смс,2
143,2022-03-06 22:00:00,337,трафик,342
144,2022-03-06 23:00:00,429,звонок,28
145,2022-03-07 00:00:00,151,трафик,285
146,2022-03-07 01:00:00,75,смс,2
147,2022-03-07 02:00:00,168,трафик,131
148,2022-03-07 03:00:00,220,звонок,23
149,2022-03-07 04:00:00,386,звонок,40
150,2022-03-07 05:00:00,490,смс,2
151,2022-03-07 06:00:00,466,смс,2
152,2022-03-07 07:00:00,368,трафик,195
153,2022-03-07 08:00:00,315,трафик,129
154,2022-03-07 09:00:00,56,трафик,260
155,2022-03-07 10:00:00,75,трафик,209
156,2022-03-07 11:00:00,282,звонок,29
157,2022-03-07 12:00:00,95,звонок,43
158,2022-03-07 13:00:00,52,трафик,195
159,2022-03-07 14:00:00,236,звонок,19
160,2022-03-07 15:00:00,310,трафик,224
161,2022-03-07 16:00:00,220,звонок,9
162,2022-03-07 17:00:00,74,смс,2
163,2022-03-07 18:00:00,181,трафик,448
164,2022-03-07 19:00:00,365,смс,1
165,2022-03-07 20:00:00,169,звонок,47
166,2022-03-07 21:00:00,189,трафик,108
167,2022-03-07 22:00:00,376,трафик,81
168,2022-03-07 23:00:00,209,смс,2
169,2022-03-08 00:00:00,457,смс,2
170,2022-03-08 01:00:00,61,звонок,6
171,2022-03-08 02:00:00,273,смс,2
172,2022-03-08 03:00:00,283,трафик,429
173,2022-03-08 04:00:00,274,трафик,309
174,2022-03-08 05:00:00,224,трафик,490
175,2022-03-08 06:00:00,426,смс,2
176,2022-03-08 07:00:00,42,звонок,34
177,2022-03-08 08:00:00,478,трафик,402
178,2022-03-08 09:00:00,344,смс,2
179,2022-03-08 10:00:00,493,смс,1
180,2022-03-08 11:00:00,238,звонок,42
181,2022-03-08 12:00:00,365,звонок,13
182,2022-03-08 13:00:00,327,трафик,88
183,2022-03-08 14:00:00,489,звонок,30
184,2022-03-08 15:00:00,164,звонок,35
185,2022-03-08 16:00:00,59,трафик,200
186,2022-03-08 17:00:00,277,смс,2
187,2022-03-08 18:00:00,54,трафик,312
188,2022-03-08 19:00:00,430,трафик,439
189,2022-03-08 20:00:00,390,смс,2
190,2022-03-08 21:00:00,166,звонок,35
191,2022-03-08 22:00:00,427,трафик,399
192,2022-03-08 23:00:00,445,звонок,6
193,2022-03-09 00:00:00,126,звонок,20
194,2022-03-09 01:00:00,162,смс,2
195,2022-03-09 02:00:00,103,смс,2
196,2022-03-09 03:00:00,273,смс,2
197,2022-03-09 04:00:00,326,звонок,4
198,2022-03-09 05:00:00,115,звонок,23
199,2022-03-09 06:00:00,81,звонок,40
200,2022-03-09 07:00:00,429,трафик,98
201,2022-03-09 08:00:00,281,трафик,209
202,2022-03-09 09:00:00,418,звонок,40
203,2022-03-09 10:00:00,161,смс,1
204,2022-03-09 11:00:00,363,звонок,21
205,2022-03-09 12:00:00,4,звонок,3
206,2022-03-09 13:00:00,183,звонок,7
207,2022-03-09 14:00:00,293,трафик,139
208,2022-03-09 15:00:00,210,звонок,34
209,2022-03-09 16:00:00,291,звонок,48
210,2022-03-09 17:00:00,271,смс,2
211,2022-03-09 18:00:00,92,смс,2
212,2022-03-09 19:00:00,389,звонок,17
213,2022-03-09 20:00:00,56,звонок,10
214,2022-03-09 21:00:00,140,смс,1
215,2022-03-09 22:00:00,191,трафик,96
216,2022-03-09 23:00:00,185,смс,1
217,2022-03-10 00:00:00,211,смс,1
218,2022-03-10 01:00:00,67,трафик,177
219,2022-03-10 02:00:00,226,трафик,159
220,2022-03-10 03:00:00,284,звонок,4
221,2022-03-10 04:00:00,67,звонок,42
222,2022-03-10 05:00:00,87,трафик,158
223,2022-03-10 06:00:00,43,звонок,30
224,2022-03-10 07:00:00,379,трафик,187
225,2022-03-10 08:00:00,44,смс,2
226,2022-03-10 09:00:00,294,смс,1
227,2022-03-10 10:00:00,52,звонок,31
228,2022-03-10 11:00:00,218,трафик,105
229,2022-03-10 12:00:00,410,трафик,396
230,2022-03-10 13:00:00,43,смс,2
231,2022-03-10 14:00:00,454,смс,1
232,2022-03-10 15:00:00,6,смс,1
233,2022-03-10 16:00:00,407,смс,2
234,2022-03-10 17:00:00,297,трафик,414
235,2022-03-10 18:00:00,144,трафик,484
236,2022-03-10 19:00:00,444,звонок,45
237,2022-03-10 20:00:00,275,трафик,98
238,2022-03-10 21:00:00,107,трафик,411
239,2022-03-10 22:00:00,225,смс,1
240,2022-03-10 23:00:00,488,звонок,48
241,2022-03-11 00:00:00,148,смс,1
242,2022-03-11 01:00:00,311,смс,1
243,2022-03-11 02:00:00,336,смс,2
244,2022-03-11 03:00:00,123,трафик,131
245,2022-03-11 04:00:00,122,смс,1
246,2022-03-11 05:00:00,244,звонок,40
247,2022-03-11 06:00:00,21,трафик,428
248,2022-03-11 07:00:00,12,звонок,32
249,2022-03-11 08:00:00,379,звонок,40
250,2022-03-11 09:00:00,51,звонок,43
251,2022-03-11 10:00:00,412,звонок,34
252,2022-03-11 11:00:00,170,трафик,89
253,2022-03-11 12:00:00,40,смс,1
254,2022-03-11 13:00:00,247,трафик,296
255,2022-03-11 14:00:00,301,смс,2
256,2022-03-11 15:00:00,488,смс,2
257,2022-03-11 16:00:00,136,смс,1
258,2022-03-11 17:00:00,425,смс,2
259,2022-03-11 18:00:00,312,смс,1
260,2022-03-11 19:00:00,102,смс,2
261,2022-03-11 20:00:00,487,смс,1
262,2022-03-11 21:00:00,62,смс,2
263,2022-03-11 22:00:00,402,смс,2
264,2022-03-11 23:00:00,250,смс,1
265,2022-03-12 00:00:00,101,звонок,39
266,2022-03-12 01:00:00,310,звонок,15
267,2022-03-12 02:00:00,483,смс,1
268,2022-03-12 03:00:00,224,смс,1
269,2022-03-12 04:00:00,496,звонок,19
270,2022-03-12 05:00:00,403,трафик,287
271,2022-03-12 06:00:00,441,смс,2
272,2022-03-12 07:00:00,122,трафик,467
273,2022-03-12 08:00:00,260,звонок,22
274,2022-03-12 09:00:00,244,трафик,107
275,2022-03-12 10:00:00,136,звонок,8
276,2022-03-12 11:00:00,328,трафик,453
277,2022-03-12 12:00:00,472,звонок,26
278,2022-03-12 13:00:00,284,смс,2
279,2022-03-12 14:00:00,66,трафик,96
280,2022-03-12 15:00:00,344,смс,1
281,2022-03-12 16:00:00,223,трафик,441
282,2022-03-12 17:00:00,162,трафик,428
283,2022-03-12 18:00:00,257,звонок,14
284,2022-03-12 19:00:00,286,звонок,8
285,2022-03-12 20:00:00,390,звонок,2
286,2022-03-12 21:00:00,394,звонок,29
287,2022-03-12 22:00:00,132,смс,1
288,2022-03-12 23:00:00,153,звонок,32
289,2022-03-13 00:00:00,136,смс,1
290,2022-03-13 01:00:00,369,смс,1
291,2022-03-13 02:00:00,52,трафик,460
292,2022-03-13 03:00:00,365,трафик,221
293,2022-03-13 04:00:00,414,трафик,257
294,2022-03-13 05:00:00,208,трафик,378
295,2022-03-13 06:00:00,220,звонок,16
296,2022-03-13 07:00:00,152,звонок,35
297,2022-03-13 08:00:00,67,трафик,380
298,2022-03-13 09:00:00,121,смс,2
299,2022-03-13 10:00:00,77,трафик,181
300,2022-03-13 11:00:00,484,смс,2
301,2022-03-13 12:00:00,119,звонок,48
302,2022-03-13 13:00:00,361,звонок,15
303,2022-03-13 14:00:00,219,трафик,310
304,2022-03-13 15:00:00,89,смс,2
305,2022-03-13 16:00:00,228,смс,2
306,2022-03-13 17:00:00,146,смс,2
307,2022-03-13 18:00:00,109,трафик,139
308,2022-03-13 19:00:00,464,смс,2
309,2022-03-13 20:00:00,330,смс,1
310,2022-03-13 21:00:00,70,трафик,218
311,2022-03-13 22:00:00,42,звонок,45
312,2022-03-13 23:00:00,139,трафик,442
313,2022-03-14 00:00:00,364,трафик,423
314,2022-03-14 01:00:00,274,звонок,7
315,2022-03-14 02:00:00,412,трафик,404
316,2022-03-14 03:00:00,362,смс,2
317,2022-03-14 04:00:00,382,трафик,262
318,2022-03-14 05:00:00,341,звонок,1
319,2022-03-14 06:00:00,68,смс,2
320,2022-03-14 07:00:00,386,трафик,238
321,2022-03-14 08:00:00,6,смс,2
322,2022-03-14 09:00:00,180,трафик,488
323,2022-03-14 10:00:00,68,звонок,33
324,2022-03-14 11:00:00,235,смс,2
325,2022-03-14 12:00:00,296,смс,2
326,2022-03-14 13:00:00,83,трафик,86
327,2022-03-14 14:00:00,411,трафик,153
328,2022-03-14 15:00:00,59,смс,1
329,2022-03-14 16:00:00,128,трафик,312
330,2022-03-14 17:00:00,247,звонок,2
331,2022-03-14 18:00:00,283,смс,2
332,2022-03-14 19:00:00,189,трафик,91
333,2022-03-14 20:00:00,402,трафик,349
334,2022-03-14 21:00:00,477,звонок,14
335,2022-03-14 22:00:00,454,трафик,280
336,2022-03-14 23:00:00,149,звонок,38
337,2022-03-15 00:00:00,22,смс,1
338,2022-03-15 01:00:00,345,смс,1
339,2022-03-15 02:00:00,457,трафик,334
340,2022-03-15 03:00:00,427,трафик,327
341,2022-03-15 04:00:00,167,трафик,167
342,2022-03-15 05:00:00,481,звонок,35
343,2022-03-15 06:00:00,72,трафик,283
344,2022-03-15 07:00:00,199,трафик,263
345,2022-03-15 08:00:00,361,звонок,16
346,2022-03-15 09:00:00,228,звонок,14
347,2022-03-15 10:00:00,152,звонок,3
348,2022-03-15 11:00:00,100,смс,2
349,2022-03-15 12:00:00,124,звонок,5
350,2022-03-15 13:00:00,247,трафик,339
351,2022-03-15 14:00:00,314,звонок,18
352,2022-03-15 15:00:00,309,трафик,242
353,2022-03-15 16:00:00,134,смс,1
354,2022-03-15 17:00:00,456,смс,2
355,2022-03-15 18:00:00,244,трафик,172
356,2022-03-15 19:00:00,65,звонок,37
357,2022-03-15 20:00:00,317,трафик,144
358,2022-03-15 21:00:00,262,звонок,7
359,2022-03-15 22:00:00,401,звонок,25
360,2022-03-15 23:00:00,43,трафик,160
361,2022-03-16 00:00:00,228,смс,1
362,2022-03-16 01:00:00,184,звонок,46
363,2022-03-16 02:00:00,397,трафик,339
364,2022-03-16 03:00:00,439,звонок,28
365,2022-03-16 04:00:00,310,звонок,34
366,2022-03-16 05:00:00,179,трафик,94
367,2022-03-16 06:00:00,38,трафик,290
368,2022-03-16 07:00:00,443,смс,1
369,2022-03-16 08:00:00,244,смс,2
370,2022-03-16 09:00:00,179,трафик,104
371,2022-03-16 10:00:00,494,трафик,479
372,2022-03-16 11:00:00,40,трафик,387
373,2022-03-16 12:00:00,24,звонок,20
374,2022-03-16 13:00:00,116,звонок,12
375,2022-03-16 14:00:00,97,трафик,278
376,2022-03-16 15:00:00,384,смс,2
377,2022-03-16 16:00:00,321,звонок,23
378,2022-03-16 17:00:00,22,трафик,94
379,2022-03-16 18:00:00,490,звонок,33
380,2022-03-16 19:00:00,423,смс,2
381,2022-03-16 20:00:00,499,трафик,260
382,2022-03-16 21:00:00,253,звонок,29
383,2022-03-16 22:00:00,211,трафик,437
384,2022-03-16 23:00:00,281,смс,1
385,2022-03-17 00:00:00,254,звонок,36
386,2022-03-17 01:00:00,343,смс,2
387,2022-03-17 02:00:00,433,смс,2
388,2022-03-17 03:00:00,112,смс,1
389,2022-03-17 04:00:00,71,трафик,470
390,2022-03-17 05:00:00,361,смс,2
391,2022-03-17 06:00:00,205,смс,1
392,2022-03-17 07:00:00,347,звонок,31
393,2022-03-17 08:00:00,235,трафик,228
394,2022-03-17 09:00:00,6,трафик,158
395,2022-03-17 10:00:00,379,трафик,383
396,2022-03-17 11:00:00,103,смс,2
397,2022-03-17 12:00:00,240,звонок,46
398,2022-03-17 13:00:00,398,звонок,20
399,2022-03-17 14:00:00,150,звонок,36
400,2022-03-17 15:00:00,435,трафик,260
401,2022-03-17 16:00:00,135,звонок,17
402,2022-03-17 17:00:00,52,трафик,191
403,2022-03-17 18:00:00,66,трафик,214
404,2022-03-17 19:00:00,322,трафик,152
405,2022-03-17 20:00:00,161,смс,1
406,2022-03-17 21:00:00,198,звонок,33
407,2022-03-17 22:00:00,239,трафик,447
408,2022-03-17 23:00:00,256,трафик,121
409,2022-03-18 00:00:00,15,трафик,162
410,2022-03-18 01:00:00,152,звонок,28
411,2022-03-18 02:00:00,164,звонок,47
412,2022-03-18 03:00:00,392,трафик,228
413,2022-03-18 04:00:00,347,трафик,316
414,2022-03-18 05:00:00,329,смс,1
415,2022-03-18 06:00:00,207,звонок,27
416,2022-03-18 07:00:00,184,смс,1
417,2022-03-18 08:00:00,90,смс,1
418,2022-03-18 09:00:00,242,смс,1
419,2022-03-18 10:00:00,400,смс,1
420,2022-03-18 11:00:00,154,трафик,395
421,2022-03-18 12:00:00,351,смс,1
422,2022-03-18 13:00:00,158,трафик,287
423,2022-03-18 14:00:00,224,трафик,323
424,2022-03-18 15:00:00,222,звонок,32
425,2022-03-18 16:00:00,33,звонок,12
426,2022-03-18 17:00:00,403,смс,1
427,2022-03-18 18:00:00,500,звонок,22
428,2022-03-18 19:00:00,195,смс,2
429,2022-03-18 20:00:00,332,трафик,469
430,2022-03-18 21:00:00,67,трафик,189
431,2022-03-18 22:00:00,252,смс,2
432,2022-03-18 23:00:00,410,звонок,41
433,2022-03-19 00:00:00,101,трафик,434
434,2022-03-19 01:00:00,488,смс,2
435,2022-03-19 02:00:00,379,трафик,347
436,2022-03-19 03:00:00,95,звонок,41
437,2022-03-19 04:00:00,319,смс,2
438,2022-03-19 05:00:00,88,смс,2
439,2022-03-19 06:00:00,18,звонок,23
440,2022-03-19 07:00:00,426,трафик,356
441,2022-03-19 08:00:00,130,трафик,124
442,2022-03-19 09:00:00,293,трафик,438
443,2022-03-19 10:00:00,382,звонок,12
444,2022-03-19 11:00:00,393,смс,1
445,2022-03-19 12:00:00,493,трафик,233
446,2022-03-19 13:00:00,154,трафик,474
447,2022-03-19 14:00:00,77,смс,2
448,2022-03-19 15:00:00,34,смс,1
449,2022-03-19 16:00:00,485,трафик,188
450,2022-03-19 17:00:00,25,трафик,391
451,2022-03-19 18:00:00,434,трафик,153
452,2022-03-19 19:00:00,132,смс,1
453,2022-03-19 20:00:00,447,трафик,403
454,2022-03-19 21:00:00,434,трафик,338
455,2022-03-19 22:00:00,448,звонок,24
456,2022-03-19 23:00:00,114,смс,2
457,2022-03-20 00:00:00,127,трафик,338
458,2022-03-20 01:00:00,500,трафик,193
459,2022-03-20 02:00:00,244,смс,1
460,2022-03-20 03:00:00,452,звонок,2
461,2022-03-20 04:00:00,230,трафик,446
462,2022-03-20 05:00:00,377,звонок,21
463,2022-03-20 06:00:00,494,трафик,96
464,2022-03-20 07:00:00,54,смс,1
465,2022-03-20 08:00:00,380,звонок,2
466,2022-03-20 09:00:00,68,трафик,92
467,2022-03-20 10:00:00,453,трафик,378
468,2022-03-20 11:00:00,111,звонок,28
469,2022-03-20 12:00:00,78,трафик,148
470,2022-03-20 13:00:00,56,смс,2
471,2022-03-20 14:00:00,347,трафик,472
472,2022-03-20 15:00:00,484,трафик,350
473,2022-03-20 16:00:00,32,звонок,24
474,2022-03-20 17:00:00,16,смс,1
475,2022-03-20 18:00:00,100,смс,2
476,2022-03-20 19:00:00,21,трафик,406
477,2022-03-20 20:00:00,49,звонок,42
478,2022-03-20 21:00:00,55,звонок,10
479,2022-03-20 22:00:00,477,смс,1
480,2022-03-20 23:00:00,281,звонок,49
481,2022-03-21 00:00:00,83,трафик,371
482,2022-03-21 01:00:00,244,смс,2
483,2022-03-21 02:00:00,363,смс,2
484,2022-03-21 03:00:00,347,смс,1
485,2022-03-21 04:00:00,201,звонок,29
486,2022-03-21 05:00:00,358,смс,1
487,2022-03-21 06:00:00,307,смс,2
488,2022-03-21 07:00:00,49,смс,2
489,2022-03-21 08:00:00,65,смс,1
490,2022-03-21 09:00:00,335,звонок,3
491,2022-03-21 10:00:00,477,трафик,478
492,2022-03-21 11:00:00,257,смс,2
493,2022-03-21 12:00:00,398,трафик,401
494,2022-03-21 13:00:00,353,смс,1
495,2022-03-21 14:00:00,100,смс,2
496,2022-03-21 15:00:00,353,звонок,6
497,2022-03-21 16:00:00,6,смс,2
498,2022-03-21 17:00:00,78,смс,2
499,2022-03-21 18:00:00,403,звонок,10
500,2022-03-21 19:00:00,418,звонок,42
501,2022-03-21 20:00:00,18,трафик,161
502,2022-03-21 21:00:00,444,звонок,33
503,2022-03-21 22:00:00,108,смс,1
504,2022-03-21 23:00:00,148,смс,2
505,2022-03-22 00:00:00,396,трафик,407
506,2022-03-22 01:00:00,291,смс,2
507,2022-03-22 02:00:00,278,звонок,13
508,2022-03-22 03:00:00,463,смс,2
509,2022-03-22 04:00:00,100,звонок,20
510,2022-03-22 05:00:00,203,смс,2
511,2022-03-22 06:00:00,224,смс,2
512,2022-03-22 07:00:00,413,смс,1
513,2022-03-22 08:00:00,487,трафик,339
514,2022-03-22 09:00:00,286,звонок,7
515,2022-03-22 10:00:00,227,звонок,10
516,2022-03-22 11:00:00,404,трафик,467
517,2022-03-22 12:00:00,161,смс,1
518,2022-03-22 13:00:00,66,звонок,7
519,2022-03-22 14:00:00,430,звонок,40
520,2022-03-22 15:00:00,477,звонок,6
521,2022-03-22 16:00:00,316,смс,2
522,2022-03-22 17:00:00,347,смс,2
523,2022-03-22 18:00:00,181,звонок,19
524,2022-03-22 19:00:00,111,смс,2
525,2022-03-22 20:00:00,342,трафик,238
526,2022-03-22 21:00:00,136,звонок,47
527,2022-03-22 22:00:00,275,трафик,103
528,2022-03-22 23:00:00,102,трафик,223
529,2022-03-23 00:00:00,392,трафик,246
530,2022-03-23 01:00:00,205,трафик,123
531,2022-03-23 02:00:00,336,звонок,11
532,2022-03-23 03:00:00,42,смс,1
533,2022-03-23 04:00:00,81,звонок,24
534,2022-03-23 05:00:00,249,звонок,19
535,2022-03-23 06:00:00,453,смс,1
536,2022-03-23 07:00:00,277,смс,2
537,2022-03-23 08:00:00,239,трафик,237
538,2022-03-23 09:00:00,30,смс,2
539,2022-03-23 10:00:00,459,звонок,21
540,2022-03-23 11:00:00,477,трафик,159
541,2022-03-23 12:00:00,107,трафик,240
542,2022-03-23 13:00:00,6,смс,2
543,2022-03-23 14:00:00,105,звонок,43
544,2022-03-23 15:00:00,366,звонок,38
545,2022-03-23 16:00:00,470,трафик,232
546,2022-03-23 17:00:00,172,звонок,44
547,2022-03-23 18:00:00,44,смс,2
548,2022-03-23 19:00:00,364,трафик,356
549,2022-03-23 20:00:00,22,смс,2
550,2022-03-23 21:00:00,389,смс,2
551,2022-03-23 22:00:00,137,смс,2
552,2022-03-23 23:00:00,97,звонок,11
553,2022-03-24 00:00:00,122,трафик,100
554,2022-03-24 01:00:00,305,звонок,37
555,2022-03-24 02:00:00,80,трафик,462
556,2022-03-24 03:00:00,53,звонок,35
557,2022-03-24 04:00:00,437,трафик,467
558,2022-03-24 05:00:00,416,трафик,121
559,2022-03-24 06:00:00,277,звонок,17
560,2022-03-24 07:00:00,198,трафик,345
561,2022-03-24 08:00:00,99,звонок,11
562,2022-03-24 09:00:00,4,трафик,407
563,2022-03-24 10:00:00,385,звонок,21
564,2022-03-24 11:00:00,269,звонок,29
565,2022-03-24 12:00:00,234,трафик,127
566,2022-03-24 13:00:00,451,смс,1
567,2022-03-24 14:00:00,495,трафик,491
568,2022-03-24 15:00:00,119,звонок,24
569,2022-03-24 16:00:00,414,смс,2
570,2022-03-24 17:00:00,121,смс,2
571,2022-03-24 18:00:00,21,смс,1
572,2022-03-24 19:00:00,296,смс,2
573,2022-03-24 20:00:00,318,звонок,48
574,2022-03-24 21:00:00,379,трафик,268
575,2022-03-24 22:00:00,64,звонок,9
576,2022-03-24 23:00:00,127,звонок,36
577,2022-03-25 00:00:00,446,трафик,466
578,2022-03-25 01:00:00,425,звонок,42
579,2022-03-25 02:00:00,29,звонок,2
580,2022-03-25 03:00:00,62,звонок,40
581,2022-03-25 04:00:00,350,смс,2
582,2022-03-25 05:00:00,24,трафик,467
583,2022-03-25 06:00:00,94,смс,2
584,2022-03-25 07:00:00,267,трафик,419
585,2022-03-25 08:00:00,353,звонок,43
586,2022-03-25 09:00:00,160,смс,1
587,2022-03-25 10:00:00,351,звонок,8
588,2022-03-25 11:00:00,145,звонок,37
589,2022-03-25 12:00:00,124,смс,2
590,2022-03-25 13:00:00,461,звонок,8
591,2022-03-25 14:00:00,11,смс,2
592,2022-03-25 15:00:00,43,смс,1
593,2022-03-25 16:00:00,160,смс,1
594,2022-03-25 17:00:00,237,трафик,325
595,2022-03-25 18:00:00,372,звонок,9
596,2022-03-25 19:00:00,144,трафик,171
597,2022-03-25 20:00:00,4,трафик,177
598,2022-03-25 21:00:00,253,звонок,28
599,2022-03-25 22:00:00,273,смс,1
600,2022-03-25 23:00:00,308,трафик,83
601,2022-03-26 00:00:00,14,трафик,493
602,2022-03-26 01:00:00,239,трафик,324
603,2022-03-26 02:00:00,322,трафик,417
604,2022-03-26 03:00:00,205,смс,2
605,2022-03-26 04:00:00,111,смс,2
606,2022-03-26 05:00:00,324,звонок,13
607,2022-03-26 06:00:00,130,смс,2
608,2022-03-26 07:00:00,80,смс,1
609,2022-03-26 08:00:00,466,звонок,15
610,2022-03-26 09:00:00,362,звонок,23
611,2022-03-26 10:00:00,390,смс,1
612,2022-03-26 11:00:00,424,звонок,39
613,2022-03-26 12:00:00,300,смс,1
